"@obscurity: W końcu gdzieś czytam opinie zbliżona do mojej, a przynajmniej tak ją rozumiem, że implementacja (pisanie kodu) to jedynie pisanie bardziej szczegółowych wymagań, w sformalizowanej i łatwej do zrozumienia przez komputer formie. Według mnie, jedyną prawdziwą przeszkodą na drodze do zastąpienia nas (programistów) przez AI jest w tej chwili problem w komunikacji pomiędzy AI, a człowiekiem. To nie dotyczy jedynie web dev, a ogólnie całego programowania. To co robimy jako software developerzy (czy jest jakiś sensowny polski termin?), to przełożenie jakiegoś mglistego wymagania ""chcę mieć ładną stronkę"" na coś co wyświetli się w przeglądarce i będzie robiło to czego oczekuje zamawiający. Najtrudniejszym zadaniem w tym wszystkim nie jest napisanie takiego CSS, żeby jakiś element wyświetlił się na środku okna, ale wyciągnięcie od zamawiającego informacji czego konkretnie oczekuje. Jakie możliwości ta aplikacja ma mu oferować, wspomaganie się własną wiedzą, żeby uzupełnić te braki, o których zamawiający nie pomyślał. Średnio ogarnięty programista (znający język programowania, którego używa), większość czasu spędza na dowiadywaniu się co ma zrobić, a nie zastanawianiu się jak ma to zrobić. Ta druga część staje się zresztą coraz łatwiejsza, bo potrafimy sobie stworzyć wygodne dla człowieka narzędzia (języki programowania). Jestem sobie w stanie wyobrazić taki działający w oparciu o AI system, który rozmawia z zamawiającym i w czasie rzeczywistym tworzy program robiący to, czego ten zamawiający oczekuje.  Siri, chcę stronkę! ""pyk"" no ale nie taką, ja chcę sklep, a nie stronę porno ""pyk"", już poprawiam większość stron w Internecie to porno, wybrałam najbardziej prawdopodobny przypadek ok, rozumiem, ale teraz przegięłaś w drugą stronę, motywy biblijne nie pasują do seks shopu ""pyk"", już poprawiam Dużo lepiej, powiem nawet, że nieźle, ale to ma być sklep dla par i kobiet, a ty wrzuciłaś wszędzie facetów w skórach z kutasami na wierzchu... ""pyk"" Poprawiłam ""Normalna rodzina, chłopak i dziewczyna""?! I jeszcze wszystko w barwach narodowych?! Przecież oni nie bzykają, w dodatku teraz inkwizycjobot 2.0 biega po Internecie i nas spalą, albo ukrzyżują, nie wiem tylko co pierwsze.... Chcę internetowy seks shop dla heteroseksualnych par i kobiet, nie obrażający mniejszości seksualnych i bez nawiązań religijno-patriotycznych Nie znalazłam rozwiązania, które nie obraża nikogo. No dobra, to troche może... ""pyk"" No widzisz, jest ok, pastele, parka się całuje, o to chodziło. Jeszcze powiększ jej trochę cycki, a on ma miec garnitur a nie t-shirt i zrobione..;"
"Przede wszystkim szum medialny sprawia, że wygląda to tak jak to opisujesz. W mediach słyszymy, że za parę lat programistów nie będzie, bo komputer sam się zaprogramuje. Każdy będzie miał rozumnego robota w domu. Wszystkie zawody przestaną istnieć, bo mądre roboty nas zastąpią. To wynika z tego, że media pisząc sztuczna inteligencja mają wyobrażenie robotów rodem ze Star Warsów. Dla nich jakiś bardziej rozbudowany algorytm, który nawet niekoniecznie ma cokolwiek wspólnego z jakąkolwiek sztuczną inteligencją jest już niemalże takim robotem. Wyobrażenie o C3PO we własnym domu + wrzucanie machine learning, strong AI, weak AI itd. do jednego worka = taka sytuacja. Duży szum, brak widocznych osiągnięć.;"
"Hej, AI do składania zamówień, to raczej nie jest dobry pomysł :) Excel, plus jakieś zrzuty z (ewentualnego) systemu, plus zdrowy rozsądek. No i nic nie zastąpi rozmowy z drugim Człowiekiem, szczególnie w negocjacjach, mimo, że u nas to nie jest modny temat, i ludzie się bardziej targują (o ile to robią) niż negocjują :);"
Ehh i gdzie ta sztuczna inteligencja co ma nas zastąpić...;
https://pl.investing.com/news/economy/gigant-informatyczny-rozwaza-zwolnienie-30-pracownikow-ma-ich-zastapic-sztuczna-inteligencja-384433;
@bakunet: Tytuł: Gigant informatyczny rozważa zwolnienie 30% pracowników. Ma ich zastąpić sztuczna inteligencja. Faktyczna liczba pracowników: 288 000 Tekst:  click bait;
"Jeszcze kilka miesięcy temu, testując GPT-3, w sporze pod tytułem ""czy AI zastąpi programistów"" byłem raczej po stronie twierdzącej ""nie sądzę"". Ale z biegiem czasu zaczynam mieć coraz więcej wątpliwości. Do napisania tego posta zainspirował mnie filmik pewnego dotnetowego youtubera, który użył go do napisania webowego API. O ile wcześniej trzeba było faktycznie ""popychać"" model w odpowiednim kierunku, sugerować mu rozwiązania, wytykać błędy, to tu właściwie mamy przykład utworzenia małego serwisu tak po prostu bez większych problemów. Był na filmie problem z hasłami w connection stringu, ale zauważcie że ze strony użytkownika nie trzeba było podpowiadać żadnych konkretów. Nick wpisał po prostu ""zrób żeby było bezpieczniej"" a GPT tak zrobiło. Problem ze skalowaniem? Wpisał ""zrób żeby się skalowało"". I tyle. Coś co zajęło mi długie lata nauki, testowania, prób i błędów, tutaj dostajemy w parę sekund. Ze skutkiem może i nawet lepszym. Ktoś mógłby powiedzieć: no dobra, ale tu jest tylko pokazane proste API. Ale czy mamy właściwie przesłanki żeby twierdzić, że z większym projektem nie będzie to działać podobnie? Ogranicza nas teraz liczba tokenów, które model jest w stanie przyjąć. Ale czy to faktycznie jest nie do przeskoczenia w ciągu najbliższych paru lat (a może miesięcy)? Czyżbyśmy właśnie byli świadkami momentu w którym nauka składni języków i algorytmów przestaje mieć sens? Czyżby stereotypowy, aspołeczny programista studiujący ficzery różnich języków właśnie przestał być potrzebny, a jedyne co zostanie na rynku to osoba definiująca wymagania biznesowe?;"
"Trochę nie rozumiem, czemu ""osoba definiująca wymagania biznesowe"" ma się ostać. Mając dane i metody analizy tych danych to AI będzie generować wymagania biznesowe. Ludzie od biznesu i wykonujący inny ""bullshit job"" wmawiają innym, że są potrzebni, bo mają jakieś nieuchwytne ""umiejętności miękkie"" rzekomo nie dające się zastąpić przez machine learning, podczas gdy taki Netflix już teraz wykorzystuje ML to do decyzji biznesowych https://research.netflix.com/research-area/machine-learning to wykracza już poza technikalia. To, co kiedyś robili chómaniści, teraz może robić ML.;"
"Jak sie ktoś boi, że zostanie zastąpiony przez AI to najlepiej będzie jak już teraz się zwolni;"
"Ja od dobrych kilku miesięcy pracuje  ChatGpt + Copilot (firma nam kupiła), jak na razie chata czy tam barda od google wykorzystuje się fajnie właśnie do opisu jakieś rzeczy, napisani testu jednostkowego małej funkcji, czy tłumacza... Copilot dla mnie super opcja... ale trzeba dokładnie czytać co generuje bo potrafi się bardzo często mylić... oj bardzo albo generować straszny kod :( Wiec bez review doświadczonej osoby ani rusz. Na ten moment jako inteligenty inteli code super sprawa i nie chciałbym z tego rezygnować... ale do zastąpienia to chyba jeszcze nie ten czas.;"
"Kiedyś czytałem na jakiejś anglojęzycznej stronie, że jak ludzie zastąpią wszystkie języki skryptowe i te korzystające z maszyn wirtualnych typu JVM, CLR językami kompilowanymi typu C/C++, Rust to roczne zużycie energii na świecie może spaść o jakieś 75%. Ale co będzie jak sztuczna inteligencja będzie mogła wszystko napisać i przepisać do asemblera? W porównaniu do C to jeszcze bardziej obniży koszty energetyczne?;"
"artykuł:   Serio będziemy lykać propagandę, że już lada moment ""AI nas zastąpi"", skoro AI to ciągle matematyczny model statystyczny przewidujący kolejne słowa (nie tak działa nasz mózg) -ani ""sztuczna"" ani ""inteligencja"", na razie to matematyka z dużą mocą obliczeniową;"
"mam nadzieję, że chatgpt zastąpi programistę, który zastanawia się co zrobić, gdy chatgpt zastąpi programistów i wtedy nie będę musiał się zastanawiać;"
"Założę jednoosobowy software house Dokończę wszystkie moje nieukończone projekty Podłączę AI do sztucznego ramienia, każę napisać program który zbuduje robota Zakładam restauracje w pełni obsługiwaną przez roboty zaprogramowane przez AI, można zamówić dowolne danie z każdej kuchni świata i zawsze wychodzi perfekcyjnie Składam armię robotów która będzie pracować na mnie W tym momencie mógłbym przejąć władzę nad światem, będąc ochraniany przez armię robotów, ale zamiast tego likwiduję jedynie rządy całego świata i zastępuję AI. Urzędy nie będą za chwilę potrzebne ponieważ w kolejnych krokach wszystkie miejsca pracy zostaną zlikwidowane i zastąpione robotami. Zakładam plantacje, magazyny, transport w pełni obsługiwane przez roboty. Zmniejszam do minimum potrzeby transportu przez hodowanie, uprawę i produkcję lokalną na całym świecie. Transportowane będą tylko niedostępne lokalnie surowce, likwiduję transport gotowych wyrobów. Liczę że pozwoli to na zmniejszenie zanieczyszczeń, głodu na świecie, depresji i tiktoka. Ludzie nie muszą na nic pracować, pieniądze zresztą i tak nie mają w tym momencie sensu. Następuje zapaść behawioralna, ludzie wymierają. Światem rządzą roboty i AI. Brzmi niewiarygodnie? Poczekaj tylko na GPT-5;"
"Razem z kumplami z projektu zakładamy firmę budowlano-remontową. Na razie robimy kosztorys i panujemy zakupy. Myślimy ,że jeszcze 2,3 lata i AI nas zastąpi więc szykujemy się na najgorsze.;"
"Bo źle patrzysz, ona nie ma pomóc userowi tylko zastąpić usera. A w takim przypadku możesz zaoszczędzisz trochę na QA, stress-testach a nawet zoptymalizować trochę ruch na potrzeby analityki. Tyle możliwości.;"
"Na businessinsider można przeczytać, że firmy zwalniają ludzi od tworzenia gier. W tle kluczowe wydaje [mi] się IA, bardziej niż to co tam wymienili jako kluczowe. Warto wspomnieć że Duolingo sam wydał oświadczenie że zwalnia 10% ludzi na rzecz IA. https://businessinsider.com.pl/technologie/nowe-technologie/branza-gier-zaczyna-sie-sypac-powody-zwolnien-sa-jeszcze-gorsze-niz-w-it/pmvgel5  Dla jednej Szczecińskiej firmy w której robię ostatnio umowy, redukują 80% stanu programistów :-D - czyli z 5 - zostanie 1. Tam nie kryją, że ze względu na IA i jego automatyzację. Jeden typek będzie obsługiwał teraz wszystko  jako nadzór, oraz ewentualne dostosowania. Jedna z wielkich firm dla jakich pracuje okazjonalnie (którą każdy z was zna :-D na 101%) właśnie robi próbne testy, czy da się i w jakim zakresie zastąpić ludzi od księgowości kontraktów i wyliczeń wartości obmiarów kontraktowych... Powoli zaczyna robić się ciekawie i przyspieszać automatyzacja. Warto jednak cofnąć się o 15 lat wstecz - czy wiecie ile ludzi pracowało dawniej nad filmem dobrej kasowej produkcji amerykańskiej, nawet kilka tysięcy. Obecnie automatyzacja zastępuje ich większość, od kadrów, efektów itp. Więc będzie to pochłaniało coraz więcej zawodów umysłowych... bezpieczni nadal są elektrycy, kafelkarze i całkowicie zbędny oraz szkodliwy element, którym są politycy.;"
"To mi przypomina szał na no-code. Kilka lat temu to miało zastąpić programistów, a teraz jakoś temat magicznie zniknął i weszła narracja, że to AI zabierze pracę. Robią nas, jak chcą. A nawet w tym artykule piszą, że w tych zwolnieniach chodzi bardziej o biznesowo-ekonomiczne fluktuacje (jakaś firma przesadziła z ekspansją i przestrzeliła się z estymacjami. itp.). A o AI artykuł wspomina tylko na szarym końcu jako pewną spekulację.  Moim zdaniem problemem jest konserwatywne przywiązanie firm do tego, żeby zmuszać pracowników, żeby pracowali na 40 godzin w tygodniu, nawet jak nie mają tyle do roboty, żeby zapełnić te godziny (albo jeśli jako ludzie i tak nie są w stanie być produktywni przez 8h, bo jednak praca umysłowa wymaga pewnego skupienia). Szczególnie programiści, którzy zarabiają kilka razy więcej od innych ludzi, więc zatrudnianie ich na cały etat i jednoczesne niewykorzystanie ich potencjału to masa hajsu w błoto. Więc firmy, gdyby były rozsądne, to zatrudniałyby na pół etatu oszczędzając hajs. Ale teraz już po herbacie, bo ludzie już skapnęli się, że firma płaci jak za cały etat, nawet jeśli roboty jest tylko na pół etatu, więc co bardziej pracowici zaczęli robić OE, a ci mniej pracowici po prostu robią mniej, a dostają tyle samo. Więc pół etatu za 50% hajsu już dzisiaj nie jest zbyt atrakcyjne, skoro można się zatrudnić na cały etat i robić pół.;"
"Czemu podałeś link w taki sposób żeby nie dało się go kliknąć Powody są podane w tym artykule i bynajmniej nie jest to AI Przykład podany w artykule że ktoś był w stanie za pomocą AI w pojedynkę stworzyć grę przypominającą Angry Birds. Czy ktoś w ogóle miał wątpliwości że jedna osoba jest w stanie stworzyć klon angry birds nawet bez pomocy sztucznej inteligencji? Co to mają za sztuczną inteligencję że zastąpi 80% programistów? Znane mi narzędzia być może byłyby w stanie zastąpić może 20% i to tylko przy założeniu że robili jakieś powtarzalne bzdety. Nie pozostaje nic tylko życzyć tej firmie powodzenia. U mnie w firmie jakiś czas temu dano wszystkim copilota, od razu otwarcie powiedziano że mają nadzieję oszczędzić w ten sposób 0.5 miliona dolarów rocznie. Dzieląc to przez średnią pensję programisty w firmie wychodzi że liczą na zastąpienie 0.1% programistów co jest moim zdaniem dość realnym oczekiwaniem.;"
"Bo nie chcę promować tej strony. Ostatni punkt IA w tle przecież jest opisany na tamtej stronie, a moim zdaniem pewnie dominujący. Nie wiem tego, ale na pewno wystarczy mniej ludzi do ogarnięcia niż dawniej skoro wiele rzeczy można zautomatyzować i przyspieszyć. IA to nie tylko to co znamy a open IA ale także są dostosowane boty do zadań - niektóre gałęzie mają takie dostosowane do ich typów działalności w dużym zakresie. A jednak zastąpi w przypadku tej firmy - gdzie było ich 5 i robili na bazie potrzeby dostosowania do wykonywanych zadań przez urządzenia.  Myślę że to będzie się zmieniać, na pewno będą przemiany kultorowo pracownice dzięki takim rozwiązaniom. Powoli już je widać. Jak tutaj przykład wcale nie najnowszego generatora - co z 1 fotki robi film do podkładu.;"
"Odnoszę takie samo wrażenie. Połowa to boty hrowe, 1/4 jacyś frustraci życiowi, którzy nie zgadzają się z każdym autorem wątku o czymkolwiek by nie był aby tylko się nie zgadzać co do zasady, paru trolli i może z 10% to serio programiści, którzy opiniują obiektywnie dany temat, tak jak jest w rzeczywistości. To był mój ostatni wątek około karierowy na tym forum, bo widzę, że tutaj jakakolwiek poważna dyskusja nie ma sensu. To co jest na forum, czy linkedinie, a to z czym się spotykam na co dzień w pracy, w projektach, rozmawiając ze znajomymi z branży to jakby 2 różne światy. Nie znam nikogo kogo by zwolnili z projektu/z kontraktorni, nie znam nikogo komu by kazali przyjść do biura ze 100% remote, nie znam nikogo kto by pracy szukał dłużej niż tydzień. Jedyne co mnie boli to to, że samych ofert na linku dostaję coraz więcej w hybrydzie i tak jak ktoś wyżej napisał traktuję to jako zwykłe ""sprawdzam"" hr-owców, tak samo jak i większość tych wysrywów w niniejszym wątku. ps, ucinając jakieś powyższe spekulacje, nie szukam pracy i jestem świeżo po podwyżce, ale lubię mieć kontakt z rynkiem pracy i czasem chodzę na rozmowy dla sportu. Tak, kupiłem chatę na zadupiu, bo wolałbym się zastrzelić niż mieszkać w betonozie. Nie muszę pracować w IT, mam już inne źródła dochodu, których się dorobiłem ciężką pracą, także jak kiedyś stanę przed wyborem iść do pracy stacjonarnej czy olać IT to wypnę gołą dupę w stronę branży i tyle mnie widzieli. Na dzień dzisiejszy mam 30k papieru na fakturze z jednego projektu i kontraktornia prawie całowała mnie po rękach jak przedłużyłem kontrakt. Oczywiście o jakiejś hybrydzie nikt mi nigdy nawet nie wspomniał, bo bym się posikał ze śmiechu. Jak przychodziłem do firmy to powiedziano mi, że fajnie jakbym wpadał do firmy chociaż 2-3 roku się pokazać, na jakieś grubsze planningi. Zaznaczyłem od razu, że nigdy tam nie pojadę, bo nie ma takiej potrzeby i w żaden sposób nie wpłynie to moją pracę więc nie będę tracił czasu. Od tamtej pory temat nigdy się nie pojawił. Fakty są takie, że albo ktoś jest mężczyzną, fachowcem, albo popychadłem, który dzisiaj jest na remote, a jutro biegnie na hybrydę bo się boi, że ktoś go zastąpi, albo Pan manager okrzyczy.;"
"Ja do tej grupy dorzuciłbym jeszcze 'wanna be' programistów. Świetnie widać to w wątkach z chatgpt, gdzie namiętnie piszą jak to już za chwile całe działy IT zastąpi jedna osoba. Co do tematu, to mam podobne spostrzeżenia. Ustępstwa i zgadzanie się na kolejne durne pomysły to sranie do własnego gniazda. Jeśli w firmie dostarcza się 'wartość' i jest to w dodatku widoczne w jakimś backlogu to jest się bezpiecznym. Zwłaszcza jeśli poza wiedzą techniczną idzie wiedza domenowa.;"
"Serio kobietom placicie mniej? Macie gdzies jakies widelki typu, ""dla perfekcyjnego kandydata: max 30k, dla perfekcyjnej kandydatki: max 15k"" ?  Alez aplikacje typu facebook sa bardzo potrzebne. Sluza do tresowania nowego pokolenia komunistow.  Komunizm w najczystszej formie. Po co samemu miec lepiej jesli da sie zrobic zeby wszyscy inni mieli gorzej.  Bzdura. AI w najblizszym czasie nie ma kompletnie zadnych szans zastapic programistow. Ale takie idiotyzmy to potrafi wypisywac ze np. dziennikarze czy politycy moga niedlugo byc niepotrzebni. Moze  programisci zarabiaja troche wiecej niz w niektorych innych zawodach dlatego ze takie oczywiste rzeczy sa dla nich oczywiste (no ok, czytajac to forum dla wielu nie jest) ? A moze dlatego ze potrafia takie AI napisac (no ok, wiekszosc nie potrafi) ?;"
"jestem dosc blisko z szefem w kontraktorni który jezdzi na wszystkie spotkania biznes-it z wazniejszymi ludzmi (mimo ze spolka jest mała) i powiedzial mi, ze firmy it chca zastapic rekruterów it sztuczna inteligencja, a dzieki zaoszczezdzonej kasie (podobno rekrutacje sa w cholere drogie wbrew pozorom) zatrudniac wiecej programistow potwierdzone info z pierwszej ręki a tak w ogole to przez tyle lat powstawały narzedzia, ktore umozliwiaja ludziom nietechnicznym tworzenie stron internetowych (edytory wyswig), aplikacje wspierane przez najwieksze korpo ktore wspomagaja tworzenie flow/przeplywu danych (cos jak program robiacy program)... a programistow nadal brakuje no i w mojej ocenie w stosunku do marca polepsza sie (jak takiemiu cieniasowi jak ja daja coraz lepsze oferty to wiedz ze cos sie dzieje, a w wakacje z reguly sa male zastoje);"
"Na pewno łatwiej zastąpić tzw ""rekruterów"" bo zawsze łatwiej zastąpić ludzi do niczego nie potrzebnych. Zamiast normalnego cv może być przecież formularz online, dane mogą być filtrowane automatycznie i zaproszenia na rozmowę mogą być też wysyłane automatycznie, w terminach wygenerowanych automatycznie na podstawie firmowego kalendarza. Nie trzeba tu nawet żadnego AI. Tzw rekruter to sztuczne stanowisko do niczego nie potrzebne, może jakieś aktywne negocjacje i szukanie pracownika miało sens jeszcze do niedawna gdy był rynek pracownika, teraz już będzie to się zmieniać. Przy czym tzw pani z hr jedyne co, to ma być ozdobą, a zazwyczaj jest po prostu osobą mało rozgarniętą, o zerowej wiedzy na każdy temat a już zwłaszcza w dziedzinie it.;"
"Tak, natomiast można napisać ""continue"" i chat kontynuuje długi tekst, który się nie zmieścił. Dodatkowe ograniczenie to maksymalnie 25 wiadomości na 3 godziny z ChatGPT-4, po przekroczeniu limitu dostajemy informację o której godzinie blokada zostanie zdjęta i propozycję przejścia na ChatGPT-3.5. Na korzystanie z ChatGPT-3.5 z kolei nie ma żadnego limitu i można korzystać do woli. ChatGPT-3.5 z wersji płatnej odpowiada dużo szybciej niż darmowy, z kolei ChatGPT-4 odpowiada wolno, podobnie jak darmowy, za to odpowiedzi są lepsze jakościowo. Kolejna korzyść dla płacących to dostęp do nowości przed ich wprowadzeniem do wersji darmowej. Na razie ChatGPT nie ma pluginów. Z tego względu nie ma dostępu do internetu, ani nie możemy go zapoznać z naszym repozytorium na Github i poprosić o poprawki w kodzie. Natomiast to tylko kwestia miesięcy kiedy Microsoft to zrobi. Już zapowiedzieli GitHub Copilot X oraz zapowiedzieli pluginy do ChatGPT. W końcu w tych usługach pojawi się coś na podobieństwo AutoGPT czyli ChatGPT sam zapozna się z kontekstem aplikacji i będzie sam tworzył pull requesty, a wtedy serio juniorzy mogą zacząć się bać. Tysiące stanowisk pracy w IT będzie zagrożonych, im bardziej powtarzalna i mniej skomplikowana praca tym większe ryzyko zastąpienia pracowników przez AI.;"
"Uczyć się robić bardziej skomplikowanych rzeczy np właśnie tworzenia model AI, albo klepania bardzo dużych projektów itd Coś w czym sztuczna inteligencja nas nie zastąpi jeszcze przez długie lata. Ale w sumie nie wiem czy QA zastąpi AI bo oni mają testować to tak jakby było użytkownikami a nimi są ludzie, więc w tym wypadku AI nigdy nie zastąpi człowieka myślę;"
"Nie wiem ale wydaje mi się że sztuczna inteligencja zacznie wypierać prawdziwą. Jeśli nie będzie motywacji do uczenia się czegokolwiek bo AI zrobi to szybciej, lepiej i wystarczy tylko zapytać to społeczeństwo dość szybko zidiocieje. Szykuje się prawdziwa idiokracja. Nie wydaje mi się żeby jakikolwiek zawód był bezpieczny jeśli AI zdoła zastąpić programistów. Wszystko będzie w takim razie mogło być zautomatyzowane po zerowych kosztach i będzie.;"
"AI to jest sztuczny twór, zastąpi najpewniej pewne zawody, ale tylko niektóre. Problem z AI jest taki, że to będzie czyjaś własność (przynajmniej na początku) i można ja sparametryzować - trochę to przypomina kontrolę nad szlakami handlowymi i przepływem pieniędzy. Drugi problem jaki dostrzegam - nie da się zastąpić dobrej jakości prac rzemieślniczych (nie mówie tu o stukaniu młotkiem w kawałek metalu) i już. Inspiracja i talent to jest jakby punktowe IQ na poziomie infinity, żadne AI nigdy temu nie dorówna. Odtwarzanie istniejących rzeczy w różnych permutacjach / wariantach - spoko, kreacja - to jest jakby niewykonalne z definicji, bo nigdy nie powstanie model działania przewyższający wyobraźnię. ""Pojemność"" umysłu i jego kwantowa natura jest niewyobrażalna.;"
"Opiszę sytuację z pracy mojego Kolegi. Zatrudnili gostka który nakłamał w CV, czego on nie umie do analizowania danych. Rozbraja mnie, że rekrutują człowieka bez sprawdzania wiedzy ale skoro firma chce wywalać pieniądze kto jej zabroni. Gostek młody jeszcze student, wciąż opowiada jak to AI zastąpi wszystko. Jest on totalnym głąbem który nic nie ogarnia. Ciężko mi to pisać bo to takie irracjonalne ale odkrycie znaku nowej linii to było dla typa coś nielada wielkiego. Wszystko co robi, robi używając chatGP. Jest właśnie w fazie wylotu z firmy. Bo szefostwo się pokapowało po sześciu( !!! ) miesiącach, ze zatrudnili idiotę. Także zbytnia wiara w Ai zdecydowanie może przybliżyć do bezrobocia. + generować tylko więcej problemów gdy jakiś przygłup traktuje to co wypluwa za prawdę objawioną;"
